siteID,Name,area_mn,shape_mn,contig_mn,enn_mn
116,BBS 63-031-05,23.474999999999998,1.3987800386489682,0.4876926194728468,62.071067811865476
117,BBS 63-031-17,54.684,2.0795386176657153,0.719573217155689,60
118,BBS 63-906-15,47.565,1.6143722361132242,0.5361069071879755,60
119,BBS 63-906-27,72.58500000000001,1.526766784160511,0.6967129938201915,60
120,BBS 63-906-44,57.978,1.7068037912039762,0.6287543831641202,60
121,BBS 63-909-09,74.25,1.5448902462551535,0.762876685318334,60
122,BBS 63-909-44,36.247499999999995,1.418361720280871,0.6068229179290336,60
123,BBS 63-910-06,34.00875,1.8211697048853563,0.4968512694717299,60
124,BBS 63-910-28,147.42000000000002,1.9618254630776302,0.9450433314569511,60
125,BBS 63-911-08,146.745,2.3603961552293633,0.9186205361203299,60
126,BBS 63-911-38,35.527499999999996,1.4186387046205973,0.39624437598167,71.25
127,BBS 82-042-06,151.92000000000002,1.4660287672078525,0.9592269290031556,60
128,BBS 82-042-19,59.004,1.351166552760906,0.7727808597106365,66
129,BBS 82-042-40,38.519999999999996,1.6951613979714013,0.5121563566154291,61.01171990357053
130,BBS 82-902-43,99.72,1.5634349402833574,0.9203047709571852,60
131,BBS 82-903-39,313.83,1.1427765237020315,0.9780135742280853,NA
133,BBS 88-900-09,49.739999999999995,1.3685310982834473,0.5419391649205741,61.180339887498945
134,BBS 88-900-29,56.232,1.6952123834138835,0.46599769756168696,64.97056274847714
135,BBS 88-902-23,58.05,1.575376292751828,0.6607123197222056,61.41640786499874
136,BBS 88-902-36,70.85249999999999,1.8783660935557744,0.7147958044274089,60
137,BBS 88-905-17,99.42,1.8781276414694188,0.8697459365400038,60
138,BBS 88-905-38,99.18,1.651211613356216,0.9057550267000786,60
139,BBS 88-907-21,74.835,1.507160774511611,0.7705596955610421,60
140,BBS 88-907-45,149.76,1.7619478502971568,0.9501083161301833,60
141,BBS 88-920-25,98.58,1.735994032658535,0.8695710821160306,60
142,BBS 88-920-36,76.05,1.2535611493725736,0.591937614323906,61.77050983124842
143,BBS 88-921-12,151.47,1.5295356143799776,0.9576976211079231,60
144,BBS 88-921-30,151.42499999999998,1.544844849932654,0.9573386194508979,60
145,BBS 88-922-17,73.66499999999999,1.5412157106449433,0.7596819004729837,66.21320343559643
146,BBS 88-922-42,150.165,1.6325396159470669,0.95501543542637,60
147,BBS 88-923-05,45.15,1.6539373715491539,0.4274955882481977,99.15475947422651
148,BBS 88-923-46,149.805,1.800503976987446,0.9493270230918514,60
149,Chattahoochee Nature Center,1.8664285714285713,1.5355939159307703,0.31952534562982277,78.85657034241257
150,Dunwoody Nature Center,1.2946153846153847,1.5510210287048676,0.2838115968842943,76.59389524850849
151,Blue Heron Nature Preserve,1.2974999999999999,1.5732249957133706,0.3253870974801227,76.90182696791035
154,NC Aquarium at Fort Fisher,11.969999999999999,1.3779726766739753,0.6897435897435897,150
152,Austin Nature & Science Center,1.5245454545454544,1.5037408060526805,0.2664350305965673,79.53030283251671
153,Blackstone River State Park,2.8449999999999998,1.421367112684594,0.33597313425147,83.82967869052291
158,Columbus Botanical Garden,1.9799999999999998,1.4409954852857143,0.3107663832791205,92.5534161415587
159,H.J. Andrews Experimental Forest,313.74,1.1854360711261642,0.9772423025435074,NA
160,Discovery Center at Murfree Spring,0.8099999999999999,1.5021730914588058,0.4465277777777778,222.48287590894657
162,Riverbend Park,21.0825,1.9336914603318645,0.5944948618983257,78.54101966249684
163,Caledon State Park,37.95,1.9586734966626447,0.5245599098497852,62.3606797749979
166,Oregon Ridge Nature Center,275.31,2.603193733052124,0.9481856815952926,NA
168,Cuyamaca Outdoor School,0.135,1.0294117647058822,0.08333333333333333,252.31782287709834
167,Seven Islands State Birding Park,6.666428571428571,1.9898924838479817,0.5037116433868148,111.10760200142195
169,Fernbank Museum,2.76,1.5937898807732869,0.2632701836513699,67.8696671603502
171,Riverbanks,2.614736842105263,1.5572926106616811,0.36789265998390747,110.04507919204623
172,Marin Municipal Water District,22.25,1.8463338995947691,0.626379831289392,61.573786516665265
173,Lakeside Lab,3.3042857142857143,1.743739101103901,0.31200466200466204,65.05859951785263
174,Forest Park Camden NY,5.202,1.8231237290218365,0.46145641249352126,76.68468937155383
175,Schuylkill Center,11.819999999999999,1.6792709555737544,0.2943353764003013,78.83451184729768
176,Coweeta - BB,58.98599999999999,1.5055266641868026,0.5956930789231932,60
177,Coweeta - BS,72.89999999999999,1.9111282399039518,0.8709100875677468,60
178,Coweeta - RK,75.42,1.3995290922842203,0.4340994449429986,60
179,Fernbank Forest,2.6914285714285713,1.5344136790623872,0.2551908974539116,71.00617954074069
181,Crossways Survey,2.31,1.6693570013667098,0.3025107859021673,85.43632190440226
182,Appalachian State University,1.5878571428571429,1.4413574794309971,0.2494442668163561,106.0925708252174
183,Camp Woods Survey,4.41,1.8871199999330708,0.3528595794262441,73.90013660896904
184,University of Pittsburgh,0.54,1.0204081632653061,0.5,NA
185,UNCW,1.3175999999999999,1.4042278583115757,0.3815181218288244,118.0495365396933
186,Imago,12.203999999999999,2.086913420326041,0.47918041892884655,106.43327238888942
187,Lake Superior Zoo,10.282499999999999,1.686854723761521,0.3696881864956762,84.73230556748042
188,Scott's Run Nature Preserve,10.700526315789475,1.7432310797228197,0.34341934640270116,74.57402448729448
189,Potter Park Zoo,0.6171428571428571,1.3968564948740159,0.34591836734693876,273.4574942376043
191,EwA at Habitat,3.566842105263158,1.6960002357426842,0.3684588701576953,84.6814362177469
192,EwA at Fresh Pond,1.809,1.6185585788974592,0.38536683410307454,200.22750644963781
193,EwA at the Fells,44.879999999999995,1.6731419367146163,0.5681312782762058,73.0056307974577
194,"Merrimac Farms, Nokesville, VA",5.358461538461539,1.550624238727886,0.5307014302302321,167.78223388989647
195,Saint Louis Zoo Historic Valley,1.4793749999999999,1.4734347191998387,0.3271459672827584,87.06441054549816
197,Triangle Land Conservancy,16.302857142857142,1.981585148365055,0.5808956817659082,60
198,Forest Meadow,19.994999999999997,1.6788673279181563,0.48936545038551643,60.59016994374947
199,Virginia Zoo,0.09,1,0,351.18718376440194
200,Utah's Hogle Zoo,0.8181818181818181,1.4525219476565732,0.3231421356421356,115.47563536793774
201,Big Branch,55.035,1.7776646435206747,0.6803304572063931,108.63961030678928
202,VaZooVol_TheresaP,0.09,1,0,234.05079530287045
203,88-956651-30,23.541428571428572,1.9538962678334695,0.5593573048111182,65.57384177033902
204,Halley STEAM Reston Site,1.8482142857142858,1.6239542552545432,0.31097416156799856,77.47945030761167
206,Roger Judson Home,5.86125,1.716588206220013,0.377594562351932,66.18033988749895
207,Woodland Edge Hill,12.8775,1.7135239543810328,0.6982604390023344,107.38787297719121
208,"Moyer Sports Complex, Salem VA.",14.79375,1.8212658939876138,0.4631924108411531,139.14797123470723
211,Lake Elkhorn Trail,1.3233333333333333,1.5687489427573025,0.31949791944718375,88.95695076847075
